theta_deg,phi_deg,RCS_total_dBsm,RCS_VV_dBsm,RCS_HH_dBsm
25.7143,216,-15.6878,-17.8634,-19.7324
25.7143,226.286,-15.5258,-19.2321,-17.9364
25.7143,236.571,-15.3719,-21.2008,-16.6871
25.7143,246.857,-15.2441,-24.1333,-15.8446
25.7143,257.143,-15.1566,-29.0743,-15.3365
25.7143,267.429,-15.118,-42.9841,-15.1251
25.7143,277.714,-15.1314,-33.4653,-15.1956
25.7143,288,-15.1956,-26.2229,-15.5526
25.7143,298.286,-15.3043,-22.5093,-16.2212
25.7143,308.571,-15.4465,-20.1256,-17.2541
25.7143,318.857,-15.6063,-18.485,-18.7522
25.7143,329.143,-15.7645,-17.3474,-20.9153
25.7143,339.429,-15.8996,-16.5945,-24.201
25.7143,349.714,-15.9905,-16.1632,-30.0811
25.7143,360,-16.0226,-16.0226,-300
30.8571,0,-25.0744,-25.0744,-300
30.8571,10.2857,-25.0253,-25.2152,-38.7132
30.8571,20.5714,-24.8873,-25.6469,-32.8335
30.8571,30.8571,-24.6851,-26.4006,-29.5486
30.8571,41.1429,-24.4508,-27.5382,-27.3855
30.8571,51.4286,-24.2174,-29.178,-25.8866
30.8571,61.7143,-24.0131,-31.5613,-24.8532
30.8571,72,-23.8592,-35.2747,-24.1845
30.8571,82.2857,-23.7694,-42.5173,-23.8277
30.8571,92.5714,-23.7512,-52.0365,-23.7577
30.8571,102.857,-23.8061,-38.1275,-23.9697
30.8571,113.143,-23.9293,-33.1865,-24.4779
30.8571,123.429,-24.1102,-30.2532,-25.3196
30.8571,133.714,-24.3318,-28.2841,-26.5684
30.8571,144,-24.5693,-26.9152,-28.3643
30.8571,154.286,-24.792,-25.9803,-31.0013
30.8571,164.571,-24.9663,-25.3934,-35.2501
30.8571,174.857,-25.0625,-25.1099,-44.6992
30.8571,185.143,-25.0624,-25.1099,-44.6992
30.8571,195.429,-24.9662,-25.3934,-35.25
30.8571,205.714,-24.792,-25.9802,-31.0012
30.8571,216,-24.5693,-26.9152,-28.3643
30.8571,226.286,-24.3318,-28.2841,-26.5684
30.8571,236.571,-24.1103,-30.2532,-25.3196
30.8571,246.857,-23.9294,-33.1865,-24.4779
30.8571,257.143,-23.8061,-38.1275,-23.9697
30.8571,267.429,-23.7512,-52.0365,-23.7576
30.8571,277.714,-23.7693,-42.5172,-23.8277
30.8571,288,-23.8592,-35.2747,-24.1845
30.8571,298.286,-24.0132,-31.5613,-24.8532
30.8571,308.571,-24.2174,-29.1781,-25.8867
30.8571,318.857,-24.4509,-27.5382,-27.3855
30.8571,329.143,-24.6851,-26.4006,-29.5485
30.8571,339.429,-24.8873,-25.6469,-32.8335
30.8571,349.714,-25.0253,-25.2151,-38.7132
30.8571,360,-25.0744,-25.0744,-300
36,0,-36.8939,-36.8939,-300
36,10.2857,-36.82,-37.0332,-50.0161
36,20.5714,-36.6141,-37.4606,-44.1321
36,30.8571,-36.3168,-38.2073,-40.8401
36,41.1429,-35.9878,-39.3448,-38.677
36,51.4286,-35.6739,-40.9918,-37.1852
36,61.7143,-35.4024,-43.3793,-36.1561
36,72,-35.1987,-47.0942,-35.4889
36,82.2857,-35.0788,-54.3353,-35.1306
36,92.5714,-35.0505,-63.8502,-35.0562
36,102.857,-35.1156,-49.9341,-35.2612
36,113.143,-35.2789,-44.9931,-35.7694
36,123.429,-35.5286,-42.0669,-36.6182
36,133.714,-35.8348,-40.1021,-37.8713
36,144,-36.1663,-38.7347,-39.6687
36,154.286,-36.481,-37.7983,-42.3042
36,164.571,-36.7291,-37.2071,-46.5487
36,174.857,-36.8632,-36.9166,-55.9907
36,185.143,-36.8632,-36.9166,-55.9907
36,195.429,-36.7291,-37.2071,-46.5487
36,205.714,-36.481,-37.7983,-42.3042
36,216,-36.1663,-38.7347,-39.6687
36,226.286,-35.8348,-40.1021,-37.8713
36,236.571,-35.5286,-42.0669,-36.6182
36,246.857,-35.2789,-44.9931,-35.7694
36,257.143,-35.1156,-49.9341,-35.2612
36,267.429,-35.0505,-63.8502,-35.0562
36,277.714,-35.0788,-54.3353,-35.1306
36,288,-35.1987,-47.0942,-35.4889
36,298.286,-35.4024,-43.3793,-36.1561
36,308.571,-35.6739,-40.9918,-37.1852
36,318.857,-35.9878,-39.3448,-38.677
36,329.143,-36.3168,-38.2073,-40.8401
36,339.429,-36.6141,-37.4607,-44.1321
36,349.714,-36.82,-37.0332,-50.0161
36,360,-36.8939,-36.8939,-300
41.1429,0,-28.6538,-28.6538,-300
41.1429,10.2857,-28.5496,-28.7947,-41.1552
41.1429,20.5714,-28.2638,-29.2272,-35.2763
41.1429,30.8571,-27.8618,-29.9822,-31.9926
41.1429,41.1429,-27.4167,-31.1198,-29.8296
41.1429,51.4286,-26.992,-32.7585,-28.3295
41.1429,61.7143,-26.6349,-35.1409,-27.2953
41.1429,72,-26.3738,-38.8541,-26.6263
41.1429,82.2857,-26.2248,-46.0968,-26.2697
41.1429,92.5714,-26.1955,-55.6168,-26.2004
41.1429,102.857,-26.2873,-41.7091,-26.4138
41.1429,113.143,-26.4938,-36.7681,-26.922
41.1429,123.429,-26.8035,-33.8337,-27.7625
41.1429,133.714,-27.1966,-31.8638,-29.0105
41.1429,144,-27.6373,-30.4946,-30.8061
41.1429,154.286,-28.0709,-29.5598,-33.4433
41.1429,164.571,-28.4264,-28.9737,-37.6928
41.1429,174.857,-28.6299,-28.6915,-47.1432
41.1429,185.143,-28.63,-28.6916,-47.1433
41.1429,195.429,-28.4266,-28.9739,-37.6929
41.1429,205.714,-28.071,-29.5599,-33.4434
41.1429,216,-27.6373,-30.4946,-30.8061
41.1429,226.286,-27.1965,-31.8637,-29.0105
41.1429,236.571,-26.8033,-33.8335,-27.7624
41.1429,246.857,-26.4938,-36.7681,-26.9219
41.1429,257.143,-26.2874,-41.7091,-26.4138
41.1429,267.429,-26.1956,-55.6169,-26.2005
41.1429,277.714,-26.2248,-46.0969,-26.2698
41.1429,288,-26.3738,-38.8541,-26.6263
41.1429,298.286,-26.6349,-35.1409,-27.2952
41.1429,308.571,-26.9919,-32.7584,-28.3294
41.1429,318.857,-27.4166,-31.1198,-29.8295
41.1429,329.143,-27.8618,-29.9823,-31.9926
41.1429,339.429,-28.2639,-29.2274,-35.2764
41.1429,349.714,-28.5497,-28.7948,-41.1553
41.1429,360,-28.6538,-28.6538,-300
46.2857,0,-20.3529,-20.3529,-300
46.2857,10.2857,-20.2033,-20.4929,-32.107
46.2857,20.5714,-19.7997,-20.9222,-26.2248
46.2857,30.8571,-19.2478,-21.6719,-22.9359
46.2857,41.1429,-18.6626,-22.8095,-20.7729
46.2857,51.4286,-18.1262,-24.4534,-19.278
46.2857,61.7143,-17.6845,-26.839,-18.247
46.2857,72,-17.3655,-30.5533,-17.5792
46.2857,82.2857,-17.1836,-37.795,-17.2215
46.2857,92.5714,-17.1448,-47.3118,-17.149
46.2857,102.857,-17.2504,-33.3988,-17.3571
46.2857,113.143,-17.502,-28.4578,-17.8653
46.2857,123.429,-17.89,-25.5285,-18.711
46.2857,133.714,-18.389,-23.5619,-19.9623
46.2857,144,-18.9606,-22.1938,-21.7589
46.2857,154.286,-19.5389,-21.258,-24.395
46.2857,164.571,-20.026,-20.6687,-28.6414
46.2857,174.857,-20.3082,-20.3812,-38.0866
46.2857,185.143,-20.3082,-20.3813,-38.0866
46.2857,195.429,-20.0261,-20.6687,-28.6415
46.2857,205.714,-19.5389,-21.258,-24.3951
46.2857,216,-18.9606,-22.1938,-21.7589
46.2857,226.286,-18.389,-23.5618,-19.9622
46.2857,236.571,-17.8899,-25.5285,-18.7109
46.2857,246.857,-17.502,-28.4578,-17.8652
46.2857,257.143,-17.2504,-33.3988,-17.3571
46.2857,267.429,-17.1449,-47.3118,-17.149
46.2857,277.714,-17.1836,-37.795,-17.2215
46.2857,288,-17.3655,-30.5533,-17.5792
46.2857,298.286,-17.6844,-26.839,-18.247
46.2857,308.571,-18.1261,-24.4533,-19.278
46.2857,318.857,-18.6625,-22.8095,-20.7728
46.2857,329.143,-19.2478,-21.6719,-22.9359
46.2857,339.429,-19.7997,-20.9223,-26.2249
46.2857,349.714,-20.2033,-20.4929,-32.107
