theta_deg,phi_deg,RCS_total_dBsm,RCS_VV_dBsm,RCS_HH_dBsm
30.8571,102.857,-16.5716,-30.8929,-16.7352
30.8571,113.143,-16.6948,-25.9519,-17.2433
30.8571,123.429,-16.876,-23.0189,-18.0853
30.8571,133.714,-17.0977,-21.05,-19.3343
30.8571,144,-17.3353,-19.6812,-21.1303
30.8571,154.286,-17.5579,-18.7462,-23.7672
30.8571,164.571,-17.732,-18.1591,-28.0158
30.8571,174.857,-17.8279,-17.8754,-37.4647
30.8571,185.143,-17.8279,-17.8754,-37.4647
30.8571,195.429,-17.732,-18.1591,-28.0158
30.8571,205.714,-17.5579,-18.7462,-23.7672
30.8571,216,-17.3353,-19.6812,-21.1303
30.8571,226.286,-17.0977,-21.05,-19.3343
30.8571,236.571,-16.876,-23.0189,-18.0853
30.8571,246.857,-16.6948,-25.9519,-17.2433
30.8571,257.143,-16.5716,-30.8929,-16.7352
30.8571,267.429,-16.5169,-44.8022,-16.5234
30.8571,277.714,-16.5353,-35.2832,-16.5936
30.8571,288,-16.6252,-28.0407,-16.9505
30.8571,298.286,-16.7791,-24.3272,-17.6191
30.8571,308.571,-16.9831,-21.9437,-18.6524
30.8571,318.857,-17.2163,-20.3036,-20.1509
30.8571,329.143,-17.4505,-19.1661,-22.314
30.8571,339.429,-17.653,-18.4126,-25.5992
30.8571,349.714,-17.7912,-17.9811,-31.4791
30.8571,360,-17.8404,-17.8404,-300
36,0,-18.3563,-18.3563,-300
36,10.2857,-18.2838,-18.497,-31.4799
36,20.5714,-18.0821,-18.9286,-25.6
36,30.8571,-17.7916,-19.682,-22.3148
36,41.1429,-17.4625,-20.8195,-20.1517
36,51.4286,-17.1418,-22.4597,-18.6532
36,61.7143,-16.8662,-24.8431,-17.6199
36,72,-16.6612,-28.5567,-16.9514
36,82.2857,-16.5426,-35.7991,-16.5944
36,92.5714,-16.5184,-45.3181,-16.5242
36,102.857,-16.5904,-31.4088,-16.736
36,113.143,-16.7536,-26.4679,-17.2441
36,123.429,-16.9965,-23.5349,-18.0861
36,133.714,-17.2986,-21.5659,-19.3351
36,144,-17.6288,-20.1972,-21.1311
36,154.286,-17.9448,-19.2621,-23.768
36,164.571,-18.197,-18.6751,-28.0166
36,174.857,-18.3379,-18.3913,-37.4654
36,185.143,-18.3379,-18.3913,-37.4654
36,195.429,-18.197,-18.6751,-28.0166
36,205.714,-17.9448,-19.2621,-23.768
